课程名称,课程类别,课程形式,课程编号,课程时长,URL,,
配电箱接电作业——触电,事故案例,3D动画,SGAL.1.2,01:27,https://portal-supervisor-sjt.zhkjdream.com/#/educate/detail?id=1994034671488131074,,
破桩头作业——物体打击,事故案例,3D动画,SGAL.1.17,01:13,https://portal-supervisor-sjt.zhkjdream.com/#/educate/detail?id=1994035059452862465,,
装载机操作——高处坠落,事故案例,3D动画,SGAL.1.35,01:44,https://portal-supervisor-sjt.zhkjdream.com/#/educate/detail?id=1994036171010531330,,
塔吊拆除作业——起重伤害,事故案例,3D动画,SGAL.1.49,02:03,https://portal-supervisor-sjt.zhkjdream.com/#/educate/detail?id=1994035857893154817,,
边坡挖掘作业——车辆伤害,事故案例,3D动画,SGAL.2.4,01:52,https://portal-supervisor-sjt.zhkjdream.com/#/educate/detail?id=1994036256951820289,,
高速公路改扩建挡土墙浇筑——坍塌,事故案例,3D动画,SGAL.2.8,01:29,https://portal-supervisor-sjt.zhkjdream.com/#/educate/detail?id=1994033721818013698,,
承台模板安装——物体打击,事故案例,3D动画,SGAL.4.4,02:04,https://portal-supervisor-sjt.zhkjdream.com/#/educate/detail?id=1994033294338744322,,
盖梁侧模安装——高处坠落,事故案例,3D动画,SGAL.4.6,02:22,https://portal-supervisor-sjt.zhkjdream.com/#/educate/detail?id=1994033603744161794,,
预制T梁运输作业——车辆伤害,事故案例,3D动画,SGAL.4.9,01:49,https://portal-supervisor-sjt.zhkjdream.com/#/educate/detail?id=1994036028391612418,,
托架安装与预压作业——坍塌,事故案例,3D动画,SGAL.4.16,02:18,https://portal-supervisor-sjt.zhkjdream.com/#/educate/detail?id=1994035950075568130,,
隧道立拱架作业——冒顶,事故案例,3D动画,SGAL.5.8,01:32,https://portal-supervisor-sjt.zhkjdream.com/#/educate/detail?id=1994035771071062018,,
隧道抽排水作业——中毒,事故案例,3D动画,SGAL.5.10,01:44,https://portal-supervisor-sjt.zhkjdream.com/#/educate/detail?id=1994035580377030657,,
隧道二衬钢筋安装作业——高处坠落,事故案例,3D动画,SGAL.5.11,02:14,https://portal-supervisor-sjt.zhkjdream.com/#/educate/detail?id=1994035684324466689,,
隧道爆破炸药处理——爆炸,事故案例,3D动画,SGAL.5.5,01:40,https://portal-supervisor-sjt.zhkjdream.com/#/educate/detail?id=1994035270778675201,,
建筑施工基坑坍塌事故警示教育片,事故案例,,SGAL.B.1,06:27,https://www.bilibili.com/video/BV1hrooYhE4T,,
红线安全事故警示教育片--车辆伤害篇,事故案例,,SGAL.B.2,07:41,https://www.bilibili.com/video/BV1DJSyYrEqW,,
红线安全事故警示教育片--机械伤害篇,事故案例,,SGAL.B.3,09:41,https://www.bilibili.com/video/BV1yeSyYwEcd,,
