课程名称,课程类别,课程形式,课程编号,课程时长,URL,施工活动,
支架搭拆作业要点卡,作业要点类课程,3D动画,GFA.1.1,02:42,https://www.zhkjdream.com/app/course/detail/157876013_157816266,支架搭拆施工,
模板安拆作业要点卡,作业要点类课程,3D动画,GFA.1.2,03:38,https://www.zhkjdream.com/app/course/detail/157876015_157816264,模板安拆施工,
混凝土施工作业要点卡,作业要点类课程,3D动画,GFA.1.3,03:52,https://www.zhkjdream.com/app/course/detail/157876014_157816265,混凝土浇捣施工,
钢筋制安作业要点卡,作业要点类课程,3D动画,GFA.1.4,03:59,https://www.zhkjdream.com/app/course/detail/157876016_157816263,钢筋制安施工,
脚手架搭拆作业要点卡,作业要点类课程,3D动画,GFA.1.5,02:53,https://www.zhkjdream.com/app/course/detail/157868158_157824121,脚手架搭拆施工,
基坑开挖作业要点卡,作业要点类课程,3D动画,GFA.1.6,03:15,https://www.zhkjdream.com/app/course/detail/157868118_157824161,基坑开挖施工,
预应力筋制安作业要点卡,作业要点类课程,3D动画,GFA.1.7,01:59,https://www.zhkjdream.com/app/course/detail/157876486_157815793,预应力制安施工,
预应力张拉作业要点卡,作业要点类课程,3D动画,GFA.1.8,04:27,https://www.zhkjdream.com/app/course/detail/157868981_157823298,预应力张拉施工,
孔道压浆及封锚作业要点卡,作业要点类课程,3D动画,GFA.1.9,03:36,https://www.zhkjdream.com/app/course/detail/157876482_157815797,孔道压浆与封锚施工,
陆上爆破作业要点卡,作业要点类课程,3D动画,GFA.1.10,03:53,https://www.zhkjdream.com/app/course/detail/157869267_157823012,陆上爆破施工,
水下爆破作业要点卡,作业要点类课程,3D动画,GFA.1.11,03:48,,水下爆破施工,
大体积混凝土作业要点卡,作业要点类课程,3D动画,GFA.1.12,03:57,https://www.zhkjdream.com/app/course/detail/157875451_157816828,大体积混凝土施工,
人工挖孔桩作业要点卡,作业要点类课程,3D动画,GFA.1.13,04:01,https://www.zhkjdream.com/app/course/detail/157872051_157820228,挖孔桩施工,
钻孔桩作业要点卡,作业要点类课程,3D动画,GFA.1.14,04:48,,钻孔桩施工,
锤击沉桩作业要点卡,作业要点类课程,3D动画,GFA.1.15,02:18,https://www.zhkjdream.com/app/course/detail/157868193_157824086,锤击沉桩施工,
振动沉桩作业要点卡,作业要点类课程,3D动画,GFA.1.16,02:02,https://www.zhkjdream.com/app/course/detail/157868182_157824097,锤击沉桩施工,
静力压桩作业要点卡,作业要点类课程,3D动画,GFA.1.17,01:44,,锤击沉桩施工,
汽车起重机作业要点卡,作业要点类课程,3D动画,GFA.1.18,02:31,https://www.zhkjdream.com/app/course/detail/157875897_157816382,汽车起重机施工,
浮吊作业要点卡,作业要点类课程,3D动画,GFA.1.19,03:43,,浮吊施工,
塔式起重机作业要点卡,作业要点类课程,3D动画,GFA.1.20,04:43,https://www.zhkjdream.com/app/course/detail/157879487_157812792,塔式起重机施工,
门式起重机作业要点卡,作业要点类课程,3D动画,GFA.1.21,02:38,,门式起重机施工,
施工升降机作业要点卡,作业要点类课程,3D动画,GFA.1.22,03:26,https://www.zhkjdream.com/app/course/detail/157879493_157812786,施工升降机施工,
架桥机作业要点卡,作业要点类课程,3D动画,GFA.1.23,03:10,https://www.zhkjdream.com/app/course/detail/157868133_157824146,架桥机施工,
司索作业要点卡,作业要点类课程,3D动画,GFA.1.24,01:56,https://www.zhkjdream.com/app/course/detail/157877523_157814756,司索工施工,
翻模施工作业要点卡,作业要点类课程,3D动画,GFA.1.25,02:22,https://www.zhkjdream.com/app/course/detail/157873454_157818825,翻模施工,
爬模施工作业要点卡,作业要点类课程,3D动画,GFA.1.26,03:35,https://www.zhkjdream.com/app/course/detail/157879506_157812773,爬模施工,
悬臂模板安拆作业要点卡,作业要点类课程,3D动画,GFA.1.27,03:52,https://www.zhkjdream.com/app/course/detail/157873599_157818680,悬臂模板施工,
钢管柱及贝雷架支架作业要点卡,作业要点类课程,3D动画,GFA.1.29,03:31,,钢管柱及贝雷架支架施工,
钢栈桥、钢平台施工作业要点卡,作业要点类课程,3D动画,GFA.1.30,04:58,https://www.zhkjdream.com/app/course/detail/157868167_157824112,钢栈桥、钢平台施工,
挂篮施工作业要点卡,作业要点类课程,3D动画,GFA.1.31,04:16,https://www.zhkjdream.com/app/course/detail/157873957_157818322,挂篮施工,
地表清理作业要点卡,作业要点类课程,3D动画,GFA.2.1,04:39,https://www.zhkjdream.com/app/course/detailVideo/157874838_157817441,地表清理施工,
填土路堤作业要点卡,作业要点类课程,3D动画,GFA.2.2,05:39,https://www.zhkjdream.com/app/course/detail/157868152_157824127,填土路堤施工,
填石路堤作业要点卡,作业要点类课程,3D动画,GFA.2.3,03:39,https://www.zhkjdream.com/app/course/detail/157868154_157824125,填石路堤施工,
土石混填作业要点卡,作业要点类课程,3D动画,GFA.2.4,05:21,https://www.zhkjdream.com/app/course/detail/157868094_157824185,土石混填施工,
半填半挖作业要点卡,作业要点类课程,3D动画,GFA.2.5,01:55,https://www.zhkjdream.com/app/course/detail/157876017_157816262,半填半挖施工,
路堑施工作业要点卡,作业要点类课程,3D动画,GFA.2.6,04:38,,路堑施工,
浆砌片石护坡作业要点卡,作业要点类课程,3D动画,GFA.2.7,06:23,https://www.zhkjdream.com/app/course/detail/157873387_157818892,浆砌片石护坡施工,
骨架护坡作业要点卡,作业要点类课程,3D动画,GFA.2.8,03:51,,骨架护坡施工,
锚杆（索）钻孔作业要点卡,作业要点类课程,3D动画,GFA.2.9,03:01,https://www.zhkjdream.com/app/course/detail/157868189_157824090,钻孔施工,
锚杆安装作业要点卡,作业要点类课程,3D动画,GFA.2.10,03:24,https://www.zhkjdream.com/app/course/detail/157873572_157818707,锚杆安装施工,
锚索安装作业要点卡,作业要点类课程,3D动画,GFA.2.11,03:54,https://www.zhkjdream.com/app/course/detail/157868189_157824090,锚索安装施工,
锚索张拉作业要点卡,作业要点类课程,3D动画,GFA.2.12,03:36,https://www.zhkjdream.com/app/course/detail/157868187_157824092,锚索张拉施工,
框架梁作业要点卡,作业要点类课程,3D动画,GFA.2.13,03:04,https://www.zhkjdream.com/app/course/detail/157868188_157824091,框架梁施工,
锚杆挡土墙开挖作业要点卡,作业要点类课程,3D动画,GFA.2.14,02:13,,锚杆挡土墙施工,
浆砌片石挡土墙作业要点卡,作业要点类课程,3D动画,GFA.2.15,03:48,https://www.zhkjdream.com/app/course/detail/157868173_157824106,浆砌片石挡土墙施工,
