课程名称,课程类别,课程形式,课程编号,课程时长,URL,事故类型
触电,应急明白类课程,3D动画,GFE.1,01:07,https://www.zhkjdream.com/app/course/detail/157875652_157816627,触电事故
物体打击,应急明白类课程,3D动画,GFE.2,01:44,https://www.zhkjdream.com/app/course/detailVideo/157875630_157816649,物体打击事故
高处坠落,应急明白类课程,3D动画,GFE.3,01:46,https://www.zhkjdream.com/app/course/detail/157875636_157816643,高处坠落事故
机械伤害,应急明白类课程,3D动画,GFE.4,01:33,https://www.zhkjdream.com/app/course/detail/157877525_157814754,机械伤害事故
车辆伤害,应急明白类课程,3D动画,GFE.5,01:06,https://www.zhkjdream.com/app/course/detail/157877529_157814750,车辆伤害事故
火灾,应急明白类课程,3D动画,GFE.6,03:16,https://www.zhkjdream.com/app/course/detail/157868264_157824015,火灾事故
灼烫,应急明白类课程,3D动画,GFE.7,01:09,https://www.zhkjdream.com/app/course/detail/157875654_157816625,灼烫事故
淹溺,应急明白类课程,3D动画,GFE.8,01:09,https://www.zhkjdream.com/app/course/detail/157875647_157816632,淹溺事故
基坑坍塌,应急明白类课程,3D动画,GFE.9,01:42,https://www.zhkjdream.com/app/course/detail/157868251_157824028,基坑坍塌事故
支架坍塌,应急明白类课程,3D动画,GFE.10,01:28,https://www.zhkjdream.com/app/course/detail/157868263_157824016,支架坍塌事故
孔壁坍塌,应急明白类课程,3D动画,GFE.11,00:57,https://www.zhkjdream.com/app/course/detail/157873653_157818626,孔壁坍塌事故
边坡坍塌,应急明白类课程,3D动画,GFE.12,00:58,https://www.zhkjdream.com/app/course/detail/157868260_157824019,边坡坍塌事故
坍塌,应急明白类课程,3D动画,GFE.13,01:32,https://www.zhkjdream.com/app/course/detail/157868230_157824049,隧道坍塌事故
冒顶片帮,应急明白类课程,3D动画,GFE.14,01:27,https://www.zhkjdream.com/app/course/detail/157868300_157823979,冒顶片帮事故
透水,应急明白类课程,3D动画,GFE.15,01:38,https://www.zhkjdream.com/app/course/detail/157868239_157824040,透水事故
放炮,应急明白类课程,3D动画,GFE.16,01:08,https://www.zhkjdream.com/app/course/detail/157868346_157823933,放炮事故
中毒窒息,应急明白类课程,3D动画,GFE.17,00:54,https://www.zhkjdream.com/app/course/detail/157875613_157816666,中毒窒息事故
交通事故,应急明白类课程,3D动画,GFE.18,01:02,https://www.zhkjdream.com/app/course/detail/157877524_157814755,交通事故
设备倾覆,应急明白类课程,3D动画,GFE.19,01:25,https://www.zhkjdream.com/app/course/detail/157877528_157814751,设备倾覆事故
立柱爆模、倾覆,应急明白类课程,3D动画,GFE.20,01:39,https://www.zhkjdream.com/app/course/detail/157868267_157824012,立柱爆模、倾覆事故
模板倾覆,应急明白类课程,3D动画,GFE.21,01:24,https://www.zhkjdream.com/app/course/detail/157868257_157824022,模板倾覆事故
护栏模板爆模,应急明白类课程,3D动画,GFE.22,01:10,https://www.zhkjdream.com/app/course/detail/157868267_157824012,护栏模板爆模事故
中暑急救,应急明白类课程,3D动画,GFE.23,00:50,https://www.zhkjdream.com/app/course/detail/157871949_157820330,中暑急救
止血包扎,应急明白类课程,3D动画,GFE.24,01:00,https://www.zhkjdream.com/app/course/detail/157875612_157816667,止血包扎
