课程名称,课程类别,课程形式,课程编号,课程时长,URL,危险源,,
个人防护用品风险提示卡,风险提示类课程,3D动画,GFC.1.1,04:54,https://www.zhkjdream.com/app/course/detail/157868271_157824008,个人防护作业,,
触电风险提示卡,风险提示类课程,3D动画,GFC.1.2,03:33,https://www.zhkjdream.com/app/course/detail/157875725_157816554,触电作业,,
高处坠落风险提示卡,风险提示类课程,3D动画,GFC.1.3,02:22,https://www.zhkjdream.com/app/course/detail/157875744_157816535,高处坠落作业,,
物体打击风险提示卡,风险提示类课程,3D动画,GFC.1.4,02:39,https://www.zhkjdream.com/app/course/detail/157868299_157823980,物体打击作业,,
机械伤害风险提示卡,风险提示类课程,3D动画,GFC.1.5,02:36,https://www.zhkjdream.com/app/course/detail/157868283_157823996,机械伤害作业,,
起重伤害风险提示卡,风险提示类课程,3D动画,GFC.1.6,03:25,https://www.zhkjdream.com/app/course/detail/157875723_157816556,起重作业,,
车船伤害风险提示卡,风险提示类课程,3D动画,GFC.1.7,01:13,https://www.zhkjdream.com/app/course/detail/157879544_157812735,车船作业,,
基坑开挖风险提示卡,风险提示类课程,3D动画,GFC.1.8,04:06,https://www.zhkjdream.com/app/course/detail/157879539_157812740,基坑开挖作业,,
钢筋制安风险提示卡,风险提示类课程,3D动画,GFC.1.9,03:52,https://www.zhkjdream.com/app/course/detail/157868279_157824000,钢筋制安作业,,
模板搭拆风险提示卡,风险提示类课程,3D动画,GFC.1.10,04:59,https://www.zhkjdream.com/app/course/detail/157868345_157823934,模板搭拆作业,,
支架搭拆风险提示卡,风险提示类课程,3D动画,GFC.1.11,04:03,https://www.zhkjdream.com/app/course/detail/157868263_157824016,支架搭拆作业,,
混凝土浇捣风险提示卡,风险提示类课程,3D动画,GFC.1.12,03:23,https://www.zhkjdream.com/app/course/detail/157868267_157824012,混凝土浇捣作业,,
脚手架作业风险提示卡,风险提示类课程,3D动画,GFC.1.13,04:10,,脚手架作业,,
砌体作业风险提示卡,风险提示类课程,3D动画,GFC.1.14,03:13,https://www.zhkjdream.com/app/course/detail/157876504_157815775,砌体作业,,
